TP,FP,FN,TN
2,0,0,0
1,5,0,0
4,7,0,0
4,1,0,0
1,2,0,0
4,7,0,0
4,7,0,0
4,0,0,0
2,0,0,0
2,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,2
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,1,0,0
0,0,0,1
0,1,0,0
0,0,0,1
2,1,0,0
2,2,0,0
2,2,0,0
2,1,0,0
0,0,0,2
0,0,0,1
2,1,0,0
0,0,0,1
0,0,0,1
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,2
2,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,2
0,0,0,2
2,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
8,0,0,0
0,0,0,1
5,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
0,0,0,2
0,0,0,4
0,0,0,1
1,1,0,0
0,0,0,1
0,0,0,1
0,0,0,1
2,1,0,0
0,0,0,1
0,0,0,1
0,0,0,1
2,1,0,0
0,0,0,1
0,0,0,1
3,2,0,0
0,0,0,2
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,1
5,1,0,0
0,0,0,1
0,0,0,1
0,0,0,4
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,8
0,0,0,8
0,0,0,4
0,0,0,1
5,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
0,0,0,2
0,0,0,4
8,0,0,0
23,15,0,0
9,0,0,0
19,15,0,0
32,0,0,0
13,0,0,0
32,15,0,0
32,15,0,0
32,15,0,0
32,15,0,0
27,0,0,0
12,0,0,0
13,0,0,0
20,0,0,0
12,0,0,0
1,0,0,0
4,4,0,0
20,0,0,0
16,7,0,0
32,15,0,0
20,5,0,0
20,0,0,0
32,15,0,0
13,4,0,0
16,3,0,0
32,15,0,0
8,0,0,0
20,0,0,0
20,0,0,0
32,15,0,0
0,0,0,5
4,0,0,0
3,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
4,1,0,0
0,0,0,0
4,1,0,0
4,1,0,0
1,0,0,0
2,0,0,0
3,0,0,0
0,0,0,0
3,0,0,0
4,0,0,0
0,0,0,2
0,0,4,3
0,0,0,1
0,0,4,3
0,0,4,3
0,0,3,2
0,0,4,3
0,0,2,1
0,0,3,2
0,0,0,1
0,0,1,2
0,0,4,3
0,0,0,2
0,0,4,3
0,0,0,0
0,0,3,1
0,0,4,3
0,0,0,2
0,0,0,2
0,0,4,3
0,0,4,11
0,0,0,3
0,0,4,11
0,0,4,10
0,0,0,1
0,0,0,3
0,0,0,4
0,0,4,4
0,0,4,11
0,0,4,9
0,0,0,1
0,0,4,9
0,0,0,3
0,0,0,2
0,0,3,5
0,0,4,11
0,0,1,3
0,0,2,1
0,0,0,8
0,0,3,6
0,0,0,8
0,0,1,5
0,0,4,14
0,0,2,3
0,0,0,7
0,0,4,14
0,0,4,14
0,0,0,4
0,0,0,11
0,0,4,14
1,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,0,0,0
6,0,0,0
6,5,0,0
6,5,0,0
4,0,0,0
6,5,0,0
2,0,0,0
3,0,0,0
0,0,0,0
2,3,0,0
6,5,0,0
3,1,0,0
6,5,0,0
1,2,0,0
4,1,0,0
6,5,0,0
6,0,0,0
0,0,6,5
0,0,0,5
0,0,6,10
0,0,0,3
0,0,6,10
0,0,6,10
0,0,4,4
0,0,6,10
0,0,3,2
0,0,0,2
0,0,4,5
0,0,0,2
0,0,2,6
0,0,6,10
0,0,0,7
0,0,6,10
0,0,0,1
0,0,1,3
0,0,4,3
0,0,6,10
0,0,6,10
0,0,6,5
0,0,6,42
0,0,0,6
0,0,0,10
0,0,6,41
0,0,6,33
0,0,0,2
0,0,0,4
0,0,0,10
0,0,6,15
0,0,6,38
0,0,6,29
0,0,0,9
0,0,6,28
0,0,0,10
0,0,0,10
0,0,4,14
0,0,6,38
0,0,2,7
0,0,3,8
0,0,0,28
0,0,0,7
0,0,0,3
0,0,4,20
0,0,0,28
0,0,2,23
0,0,6,48
0,0,0,9
0,0,6,48
0,0,1,9
0,0,4,24
0,0,6,48
0,0,0,21
0,0,0,43
0,0,0,10
0,0,0,38
0,0,6,48
2,0,0,0
2,2,0,0
2,2,0,0
2,2,0,0
1,0,0,0
2,2,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
2,2,0,0
2,0,0,0
2,2,0,0
2,0,0,0
2,2,0,0
2,2,0,0
2,2,0,0
2,0,0,0
0,0,0,2
0,0,2,4
0,0,0,1
0,0,2,4
0,0,2,4
0,0,1,1
0,0,2,4
0,0,0,1
0,0,0,2
0,0,0,1
0,0,0,2
0,0,2,4
0,0,0,3
0,0,2,4
0,0,0,1
0,0,2,1
0,0,2,4
0,0,0,2
0,0,0,2
0,0,2,4
0,0,2,10
0,0,0,4
0,0,2,9
0,0,2,6
0,0,0,1
0,0,0,0
0,0,0,3
0,0,2,6
0,0,2,8
0,0,2,9
0,0,0,0
0,0,2,8
0,0,0,2
0,0,0,2
0,0,1,5
0,0,2,8
0,0,2,1
0,0,0,5
0,0,0,4
0,0,0,3
0,0,0,4
0,0,0,7
0,0,2,12
0,0,2,2
0,0,0,0
0,0,2,12
0,0,0,0
0,0,2,4
0,0,0,8
0,0,0,8
1,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,0,0,0
7,0,0,0
7,6,0,0
7,6,0,0
7,6,0,0
1,0,0,0
7,6,0,0
4,0,0,0
1,0,0,0
1,0,0,0
3,2,0,0
7,6,0,0
6,2,0,0
7,6,0,0
3,2,0,0
4,1,0,0
7,6,0,0
7,6,0,0
7,6,0,0
7,0,0,0
0,0,7,4
0,0,0,4
0,0,7,10
0,0,0,3
0,0,7,10
0,0,7,10
0,0,1,3
0,0,7,10
0,0,1,2
0,0,1,0
0,0,3,4
0,0,0,1
0,0,3,5
0,0,7,10
0,0,0,6
0,0,7,10
0,0,0,1
0,0,3,4
0,0,4,2
0,0,7,10
0,0,7,10
0,0,7,4
0,0,7,44
0,0,0,9
0,0,0,20
0,0,7,39
0,0,7,27
0,0,0,10
0,0,0,6
0,0,0,10
0,0,7,26
0,0,7,33
0,0,7,37
0,0,0,6
0,0,7,34
0,0,0,12
0,0,0,7
0,0,1,23
0,0,7,33
0,0,4,8
0,0,1,16
0,0,0,23
0,0,1,5
0,0,0,6
0,0,3,14
0,0,0,23
0,0,3,31
0,0,7,53
0,0,6,12
0,0,0,5
0,0,7,53
0,0,3,20
0,0,4,19
0,0,7,53
0,0,0,31
0,0,0,47
0,0,0,43
0,0,7,53
0,0,6,21
0,0,0,1
13,0,0,0
0,0,13,11
0,0,1,0
0,0,7,0
0,0,0,0
0,0,5,5
0,0,13,11
0,0,9,3
0,0,0,0
0,0,0,0
0,0,13,11
0,0,8,2
0,0,13,11
0,0,0,0
0,0,0,11
0,0,0,11
13,0,0,0
0,0,0,1
0,0,13,12
0,0,1,1
0,0,7,1
0,0,0,1
0,0,5,5
0,0,13,12
0,0,9,4
0,0,0,1
0,0,0,1
0,0,13,12
0,0,8,2
0,0,13,12
0,0,0,1
0,0,0,11
0,0,0,2
0,0,0,3
0,0,13,12
0,0,1,1
0,0,7,0
0,0,0,1
0,0,5,6
0,0,13,12
0,0,9,4
0,0,0,1
0,0,0,1
0,0,13,12
0,0,8,2
0,0,0,2
0,0,0,2
0,0,13,12
0,0,0,0
0,0,0,12
0,0,0,2
0,0,13,14
0,0,1,3
0,0,7,1
0,0,0,3
0,0,5,6
0,0,13,14
0,0,9,6
0,0,0,3
0,0,0,3
0,0,13,14
0,0,8,3
0,0,13,14
0,0,0,1
0,0,0,13
0,0,13,14
0,0,0,3
0,0,0,1
0,0,13,1
0,0,13,1
0,0,13,1
0,0,13,1
0,0,6,0
0,0,1,1
0,0,7,1
0,0,0,1
0,0,5,0
0,0,9,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,13,1
0,0,0,1
0,0,8,1
0,0,13,1
0,0,13,12
0,0,0,9
0,0,13,10
0,0,0,9
0,0,13,21
0,0,0,2
0,0,0,3
2,14,0,0
2,3,0,0
0,7,0,0
2,13,0,0
1,7,0,0
2,5,0,0
0,14,0,0
1,4,0,0
2,0,0,0
2,14,0,0
0,1,0,0
2,0,0,0
2,5,0,0
2,0,0,0
2,0,0,0
2,14,0,0
2,0,0,0
2,0,0,0
2,14,0,0
2,0,0,0
2,0,0,0
2,0,0,0
15,26,0,0
0,0,2,9
0,0,13,88
0,0,0,17
0,0,0,33
0,0,13,82
0,0,0,14
0,0,0,10
0,0,13,41
0,0,13,70
0,0,13,63
0,0,5,37
0,0,6,16
0,0,4,24
0,0,0,9
0,0,6,56
0,0,13,104
0,0,13,110
0,0,4,29
0,0,9,46
0,0,0,54
0,0,0,81
0,0,15,110
4,0,0,0
4,2,0,0
4,2,0,0
3,0,0,0
4,2,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,0,0,0
1,2,0,0
2,0,0,0
4,2,0,0
3,0,0,0
4,2,0,0
4,2,0,0
4,2,0,0
6,2,0,0
6,2,0,0
3,0,0,0
5,2,0,0
2,0,0,0
2,0,0,0
0,0,0,0
1,0,0,0
3,0,0,0
0,1,0,0
2,0,0,0
3,2,0,0
1,0,0,0
6,2,0,0
2,0,0,0
2,0,0,0
6,2,0,0
3,0,0,0
6,2,0,0
1,2,0,0
6,2,0,0
2,2,0,0
1,0,0,0
6,2,0,0
4,0,0,0
0,0,0,7
0,0,4,7
0,0,6,9
0,0,0,4
0,0,6,9
0,0,6,9
0,0,0,3
0,0,3,2
0,0,5,9
0,0,2,2
0,0,4,4
0,0,0,5
0,0,0,1
0,0,1,6
0,0,3,5
0,0,0,3
0,0,3,4
0,0,0,5
0,0,6,9
0,0,6,9
0,0,6,9
0,0,0,7
0,0,6,9
0,0,4,9
0,0,0,2
0,0,6,11
0,0,0,5
0,0,6,11
0,0,6,11
0,0,3,4
0,0,5,11
0,0,4,5
0,0,0,1
0,0,3,7
0,0,0,4
0,0,3,5
0,0,6,11
0,0,0,3
0,0,6,11
0,0,3,1
0,0,6,11
0,0,0,9
0,0,0,2
0,0,0,7
0,0,4,9
4,0,0,0
0,0,4,4
0,0,1,2
0,0,0,4
0,0,0,1
0,0,0,3
0,0,0,1
0,0,0,4
0,0,1,1
0,0,4,4
0,0,2,4
0,0,4,4
0,0,3,3
0,0,4,4
0,0,0,2
0,0,0,4
0,0,0,4
0,0,4,4
0,0,4,4
4,2,0,0
4,2,0,0
0,0,0,7
0,0,0,2
0,0,0,12
4,0,0,0
0,0,4,36
0,0,0,7
0,0,4,19
0,0,0,5
0,0,4,22
0,0,0,7
0,0,0,7
0,0,4,32
0,0,1,4
0,0,0,29
0,0,0,9
0,0,3,14
0,0,0,8
0,0,0,29
0,0,1,15
0,0,4,36
0,0,2,16
0,0,0,13
0,0,0,0
0,0,0,0
0,0,4,36
0,0,0,18
0,0,0,29
0,0,4,36
0,0,0,0
0,0,0,12
0,0,4,4
0,0,4,4
0,0,3,2
0,0,1,0
0,0,2,2
